Bairro,Valor,Condominio
Abolição,1195.33,191.4
Alto da Boa Vista,3966.67,885.0
Anchieta,875.0,19.75
Andaraí,1464.71,497.71
Anil,2048.87,455.85
Arpoador,12923.92,3493.92
Bancários,1825.0,217.0
Bangu,1016.0,92.25
Barra da Tijuca,7069.55,3591.01
Barra de Guaratiba,5550.0,1600.0
Benfica,996.0,136.6
Bento Ribeiro,1030.87,130.39
Bonsucesso,1225.93,313.12
Botafogo,8791.83,976.28
Braz de Pina,1115.0,161.5
Cachambi,1157.17,452.77
Cachamorra,3000.0,200.0
Cacuia,916.67,248.0
Caju,850.0,230.0
Camorim,1735.23,1524.23
Campinho,1037.33,364.87
Campo Grande,1267.72,211.39
Cascadura,948.71,213.39
Catete,2267.06,571.72
Catumbi,1112.5,284.38
Cavalcanti,595.0,128.0
Centro,1254.75,422.57
Cidade Jardim,12000.0,1700.0
Cidade Nova,1471.43,479.43
Cocotá,1883.33,133.33
Coelho Neto,700.0,80.0
Colégio,885.0,0.0
Copacabana,4126.68,1148.68
Cordovil,905.56,223.33
Cosme Velho,5343.55,999.03
Cosmos,658.33,145.25
Curicica,1514.57,389.59
Del Castilho,1261.3,359.52
Encantado,1050.0,250.73
Engenho Novo,1035.83,864.71
Engenho da Rainha,883.57,380.14
Engenho de Dentro,1166.35,396.3
Estácio,1233.91,518.96
Flamengo,4113.53,1102.15
Freguesia (Ilha do Governador),1720.0,296.0
Freguesia (Jacarepaguá),4966.67,701.47
Fátima,956.67,373.0
Gamboa,1116.67,247.0
Gardênia Azul,761.11,106.11
Glória,2467.29,468.21
Grajaú,2038.62,575.02
Guadalupe,700.0,92.0
Guaratiba,1232.26,88.55
Gávea,6563.69,1187.02
Higienópolis,1006.25,185.5
Honório Gurgel,628.57,175.29
Humaitá,3802.31,1088.97
Icaraí,2393.75,1033.62
Ilha do Governador,1728.0,387.64
Inhaúma,821.43,179.43
Inhoaíba,725.0,94.17
Ipanema,9352.0,2244.44
Irajá,1096.01,216.09
Itanhangá,9341.27,1025.68
Jabour,723.33,408.33
Jacarepaguá,2046.99,702.19
Jacaré,1200.0,233.33
Jardim América,714.29,14.29
Jardim Botânico,8722.36,1059.24
Jardim Carioca,2211.11,4108.11
Jardim Guanabara,2124.69,1242.75
Jardim Oceânico,7626.09,1801.83
Jardim Sulacap,1176.67,200.22
Joá,16773.48,1154.78
Lagoa,8147.08,2005.26
Lapa,1488.78,487.04
Laranjeiras,3555.28,1002.17
Largo do Machado,1880.0,575.4
Leblon,8746.34,2107.18
Leme,3944.76,1008.72
Lins de Vasconcelos,1086.17,11502.6
Madureira,1017.66,265.7
Magalhães Bastos,640.0,200.0
Maracanã,1945.5,599.85
Marechal Hermes,844.44,112.67
Maria da Graça,1073.33,206.0
Moneró,1900.0,198.89
Méier,1355.87,492.35
Olaria,1016.56,263.5
Oswaldo Cruz,823.89,74.56
Paciência,580.0,86.25
Padre Miguel,786.25,92.25
Paquetá,10550.0,0.0
Parada de Lucas,1062.5,185.5
Parque Anchieta,1287.5,0.0
Pavuna,648.95,132.47
Pechincha,1357.43,520.4
Pedra de Guaratiba,1082.11,85.79
Penha,1023.33,313.5
Penha Circular,1160.0,272.5
Península,7061.54,2067.38
Piedade,956.54,177.88
Pilares,1077.5,214.1
Pitangueiras,2725.0,282.5
Portuguesa,1272.73,372.82
Praia da Bandeira,1300.0,390.0
Praça Seca,998.41,371.91
Praça da Bandeira,1358.72,442.23
Quintino Bocaiúva,924.67,145.77
Ramos,958.0,112.83
Realengo,908.33,121.12
Recreio dos Bandeirantes,3736.61,924.86
Riachuelo,1143.9,308.66
Ribeira,1420.0,273.0
Rio Comprido,1610.24,525.28
Rio da Prata,1300.0,150.0
Rocha,1086.84,436.53
Rocha Miranda,877.0,130.82
Sampaio,937.5,295.12
Santa Cruz,734.29,150.0
Santa Teresa,2713.33,420.56
Santo Cristo,1225.0,98.75
Santíssimo,756.25,102.5
Saúde,950.0,456.5
Senador Camará,600.0,0.0
Senador Vasconcelos,867.35,123.53
São Conrado,8780.89,2936.06
São Cristóvão,1391.72,426.0
São Francisco Xavier,1237.24,453.03
Tanque,1335.71,447.32
Taquara,1642.14,411.53
Tauá,1340.0,215.5
Tijuca,2043.52,711.69
Todos os Santos,1243.08,396.81
Tomás Coelho,737.0,238.3
Turiaçu,700.0,56.2
Urca,7925.96,1016.34
Usina,1520.0,714.0
Vargem Grande,3358.17,1744.02
Vargem Pequena,2703.48,405.62
Vaz Lobo,845.0,159.92
Vicente de Carvalho,1075.71,144.29
Vidigal,2600.0,981.0
Vigário Geral,970.0,70.0
Vila Isabel,1560.83,511.5
Vila Kosmos,1311.82,176.36
Vila Militar,500.0,0.0
Vila Valqueire,1769.58,276.88
Vila da Penha,1260.58,232.68
Vista Alegre,1114.38,210.06
Zumbi,2150.0,1050.0
Água Santa,861.11,269.44
